GEO_ID,NAME,S1901_C01_013E
36001,"Albany County, New York",96849
36005,"Bronx County, New York",62502
36007,"Broome County, New York",76910
36009,"Cattaraugus County, New York",66515
36011,"Cayuga County, New York",83460
36013,"Chautauqua County, New York",62775
36015,"Chemung County, New York",75822
36019,"Clinton County, New York",72847
36027,"Dutchess County, New York",118000
36029,"Erie County, New York",83120
36045,"Jefferson County, New York",78765
36047,"Kings County, New York",103738
36053,"Madison County, New York",88231
36055,"Monroe County, New York",88986
36059,"Nassau County, New York",163621
36061,"New York County, New York",157047
36063,"Niagara County, New York",78786
36065,"Oneida County, New York",83720
36067,"Onondaga County, New York",89305
36069,"Ontario County, New York",103208
36071,"Orange County, New York",111627
36075,"Oswego County, New York",73270
36079,"Putnam County, New York",132028
36081,"Queens County, New York",97041
36083,"Rensselaer County, New York",92044
36085,"Richmond County, New York",109811
36087,"Rockland County, New York",123810
36089,"St. Lawrence County, New York",69044
36091,"Saratoga County, New York",111107
36093,"Schenectady County, New York",88139
36101,"Steuben County, New York",79707
36103,"Suffolk County, New York",148953
36105,"Sullivan County, New York",86058
36109,"Tompkins County, New York",91497
36111,"Ulster County, New York",111011
36113,"Warren County, New York",95698
36117,"Wayne County, New York",79785
36119,"Westchester County, New York",170509
